,code,logo,ko_name,description,sector,industry,country_code,market,phone,website
0,095570.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/095570.png,AJ네트웍스,"AJ네트웍스는 2000년 2월 설립된 기업으로 파렛트, IT기기, 건설장비 등의 렌탈사업, 창고 및 유통사업, 기타사업 등을 영위하고 있다. 주요 종속기업은 AJ전국스카이㈜, AJ토탈㈜, AJ렌탈서비스㈜ 등이 있다. 주요 매출은 파렛트 사업 부문에서 발생하고 있으며 IT 사업 부문이 뒤를 잇고 있다. 당사는 플라스틱 파렛트 렌탈사업을 전국단위로 영업하고 있으며 IT기기는 사무실에서 사용하는 OA기기 뿐 아니라, 공기청정기 등 환경기기, 태블릿PC 및 스마트폰 등 모바일기기에 이르기까지 다양한 품목을 취급하고 있다.",운송,육상여객운송,KR,kospi,82 2 6363 9999,https://www.ajurental.com
1,006840.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/006840.png,AK홀딩스,"AK홀딩스는 1970년 설립된 기업으로 애경 그룹 지주회사이다. 주요 종속기업은 에이케이에스앤디, 애경케미칼, 제주항공 등이 있다. 주요 매출은 배당 수익에서 발생하고 있으며 경영자문 수수료, 브랜드 사용료 수익이 뒤를 잇고 있다.",기타,지주회사/복합기업,KR,kospi,82 2 768 2923,https://www.aekyunggroup.co.kr
2,027410.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/027410.png,BGF,"BGF는 2017년 11월 (주)비지에프리테일에서 인적분할되어 설립되었으며 투자사업 부문을 영위하고 있다. 주요 종속기업은 (주)코프라를 보유하고 있다. 주요 매출은 영지원용역수익, 배당금 수익 및 임대수익, 상표권 수익 등을 통해 발생하고 있다. 당사는 완성차업체와 신차 개발에서부터 대체소재 개발에 직접 참여하고 있으며, 고기능성 폴리머 소재를 자동차의 협력 업체인 성형업체에 납품하고 있다.",기타,지주회사/복합기업,KR,kospi,82 1 577 3663,https://www.bgf.co.kr
3,282330.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/282330.png,BGF리테일,"BGF리테일은 2017년 11월 (주)비지에프에서 분할 설립된 기업으로 편의점 체인화 사업을 영위하고 있다. 주요 종속기업은 (주)비지에프로지스가 있다. 주요 매출은 가공식품 판매에서 발생하고 있다. 당사만의 독자 브랜드 CU를 성공적으로 런칭하였으며, 국내 편의점 운영 노하우를 기반으로 2018년 몽골, 2021년 말레이시아에 성공적으로 편의점을 출점하고 있다.",소매,편의점/대형마트,KR,kospi,82 1 577 8007,https://www.bgfretail.com
4,138930.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/138930.png,BNK금융지주,"BNK금융지주는 2011년 3월 출범한 지주회사이며 경영성과의 평가 및 보상에 대한 결정, 경영관리업무와 자금지원, 자금 조달 업무 등을 영위하고 있다. 주요 종속기업은 (주)부산은행, (주)경남은행, BNK캐피탈(주), (주)BNK투자증권, (주)BNK저축은행 등이 있다. 주요 매출은 이자수익에서 대부분이 발생하고 있다. 당사는 은행업, 여신전문금융업, 금융투자업, 저축은행업, 창업투자업, 신용조사 및 추심대행업 등 금융업 전반으로 사업영역을 확장하여 국내 최고 지역금융그룹이자 종합금융그룹으로 자리매김하고 있으며, 비이자·비은행 부문 수익성 및 이익창출력을 확대하여 그룹의 펀더멘털 강화 노력을 지속하고 있다.",금융,은행,KR,kospi,82 5 1620 3000,https://www.bnkfg.com
5,001460.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/001460.png,BYC,"BYC는 1955년 설립된 기업으로 내의류 제조·판매, 건설업, 부동산 임대업을 영위하고 있다. 주요 종속사는 PT BYC INDONESIA와 바이콤광고를 보유하고 있다. 주요 매출은 양품류와 봉제품에서 발생하고 있으며 임대료 수익, 광고 서비스 수익이 뒤를 잇고 있다. 온라인 유통망 강화, 오프라인 유통 채널 관리, 홈웨어 및 라운지웨어 신제품 개발 등 소비 시장 변화에 전략적으로 대응하고 있다.",생활용품/잡화,의류/패션잡화,KR,kospi,82 2 840 3114,https://home.byc.co.kr
6,001465.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/001465.png,BYC우,,,,KR,kospi,82 2 840 3114,https://home.byc.co.kr
7,001040.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/001040.png,CJ,"CJ는 1953년 설립된 기업으로 식품, 유통, 생명공학, 엔터테인먼트 및 미디어 사업과 CJ그룹의 지주회사 사업을 영위하고 있다. 주요 종속기업은 CJ제일제당, CJ프레시웨이, CJ대한통운, CJ ENM, 스튜디오드래곤 등이 있다. 주요 매출은 육가공, 제당 등 식품 관련 사업 부문에서 발생하고 있으며, 아미노산 생산 등 생명공학 분야, 운송·하역 등 물류 사업 분야가 뒤를 잇고 있다. 생활과 밀접한 분야 산업군의 자회사간 시너지 효과로 사업이 성장함에 따라 로열티 수익, 임대료수익, 배당금 수익이 증가하고 있다.",기타,지주회사/복합기업,KR,kospi,82 2 726 8114,https://www.cj.net
8,079160.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/079160.png,CJ CGV,"CJ CGV는 1999년 3월 설립된 기업으로 영화 상영을 통한 티켓판매, 매점판매, 광고판매, 위탁운영 등의 사업을 영위하고 있다. 주요 종속기업은 씨제이포디플렉스 주식회사, CGI HOLDINGS LIMITED 등과 다수의 종속사를 보유하고 있다. 주요 매출은 티켓 판매에서 발생하고 있다. 당사는 최고급 영화관과 레스토랑이 결합된 ""씨네드쉐프"", 프리미엄의 품격을 느낄 수 있는 ""Suite Cinema"" 등 라이프스타일적인 변화를 주도할 수 있는 상영관과 세계 최초 오감체험 상영관 ""4DX"", 세계 최초 미래형 다면상영관 ""ScreenX"", ""4DX""와 ""ScreenX""를 결합한 ""4DXScreen""등의 기술적 진보를 통해 한 층 더 업그레이드 된 형태의 영화관을 선보이고 있다.",미디어,엔터테인먼트,KR,kospi,82 2 371 6660,https://www.cgv.co.kr
9,00104K.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/00104K.png,CJ4우(전환),,,,KR,kospi,82 2 726 8114,https://www.cj.net
10,000120.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/000120.png,CJ대한통운,"CJ대한통운은 1930년 설립 후 2008년 금호아시아나그룹 계열사로 편입되었으나, 2011년 CJ그룹 계열사 편입, 2013년 CJ GLS와 통합하며 운송, 하역, 건설, CL 사업, 국내·해외 택배 등 사업을 영위하고 있다. CL사업 부문은 생산 업체에 운송 서비스를 제공하고, 건설 사업 부문은 물류/기타 시설, 숙박 시설, 교육 시설, 광공업 시설, 물류와 R&D센터 등 특화된 시설을 수주하여 시공하고 있으며, 택배 사업 부문은 국내와 해외 항공, 지상, 해상 물류 운송을 사업을 영위하고 있다. 특히, 국내 택배 사업은 직영 조직과 택배 취급점을 활용하여 압도적인 시장 점유율을 차지하고 있으며, 언택트 소비 트렌드와 글로벌 경기 개선에 대응하는 경영전략을 수립하고 있다.",운송,항공화물운송/물류,KR,kospi,82 1 588 1255,https://www.cjlogistics.com
11,011150.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/011150.png,CJ씨푸드,"CJ씨푸드는 1976년 설립된 기업으로 원양어업, 식품 생산·판매업을 영위하고 있다. 주요 종속기업은 농업회사법인제이팜스, 다다엠앤씨 등이 있다. 주요 매출은 어묵 판매에서 발생하고 있으며 김, 유부, 맛살 판매가 뒤를 잇고 있다. 대형백화점, 할인점 등에 제품을 판매하고 있으며, 어묵은 시장 점유율 37%를 기록하며 1위를 유지하고 있다.",음식료/식자재,수산물,KR,kospi,82 3 1730 9114,https://www.cjseafood.net
12,011155.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/011155.png,CJ씨푸드1우,,,,KR,kospi,82 3 1730 9114,https://www.cjseafood.net
13,001045.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/001045.png,CJ우,,,,KR,kospi,82 2 726 8114,https://www.cj.net
14,097950.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/097950.png,CJ제일제당,"CJ제일제당은 2007년 9월 CJ 주식회사에서 분할 설립된 기업으로 식품사업과 바이오 사업, 물류사업을 주 사업으로 영위하고 있다. 주요 종속기업은 씨제이대한통운(주), 씨제이씨푸드(주), 삼해상사(주) 등이 있다. 주요 매출은 식품사업과 물류사업 부문에서 발생하고 있다. K-Food의 글로벌화, 현지화를 통해 미국, 중국, 일본, 베트남 등 해외 식품시장 진출에 집중하고 있으며, 글로벌 소비자의 다양한 니즈를 충족하기 위해 Plant Based(대체육) 사업을 본격화 하고, ""비비고"" 브랜드를 국내 및 글로벌 대형 브랜드로 육성하고 있다.",음식료/식자재,식품,KR,kospi,82 2 6740 1114,https://www.cj.co.kr
15,097955.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/097955.png,CJ제일제당 우,,,,KR,kospi,82 2 6740 1114,https://www.cj.co.kr
16,000590.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/000590.png,CS홀딩스,"CS홀딩스는 1949년 조선선재로 설립하여 2010년 조선선재와 조선선재온산으로 분할하고, CS홀딩스로 상호를 변경, 지주 사업을 영위하고 있다. 주요 종속기업은 용접봉 재료 제조업을 영위하고 있는 조선선재와 조선선재온산, 부동산 임대업과 화물 하역 및 운송주선업을 영위하고 있는 씨에스로직스, 베트남 및 일본의 현지법인이 있다. 주요 매출은 종속사로 부터 발생하는 지주부문이며, 피복용접봉 재료 판매 수익이 뒤를 잇고 있다. 종속사는 우수한 기술력을 인정 받아 뿌리기술전문기업으로 선정되었으며 이를 바탕으로, 건설업, 조선업, 자동차산업 등 다양한 산업군에서 적극적인 영업활동을 하고 있다.",기타,지주회사/복합기업,KR,kospi,82 5 4285 8221,https://www.chosunwelding.com/en
17,012030.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/012030.png,DB,"DB는 1977년 설립된 기업으로 IT 서비스, 무역, 컨설팅 사업을 영위하고 있다. 주요 종속기업은 DB FIS가 있다. 주요 매출은 IT 서비스 부문에서 발생하고 있으며 무역 사업 부문이 뒤를 잇고 있다. 금융권고객사 IT시스템 운영경험을 보유하고 있으며, 차별화된 IT서비스를 제공하기 위해 IT 아웃소싱 서비스 역량을 지속적으로 고도화하고 있다.",IT/ICT,IT서비스,KR,kospi,82 2 2136 6000,https://eng.dbinc.co.kr
18,016610.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/016610.png,DB금융투자,"DB금융투자는 1982년 설립된 기업으로 종합금융업을 영위하고 있다. 주요 종속기업은 DB자산운용이 있다. 주요 매출은 유가증권 평가 및 처분이익에서 발생하고 있으며 수수료 수익, 이자 수익이 뒤를 잇고 있다.",금융,증권,KR,kospi,82 2 369 3000,https://www.db-fi.com
19,005830.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/005830.png,DB손해보험,"DB손해보험은 1962년 설립된 기업으로 자동차보험, 해상, 특종, 개인 보험 등 종합보험업을 영위하고 있다. 주요 종속기업은 DB MNS, DB자동차보험손해사정, DB캐피탈 등이 있다. 주요 매출은 보험료 수익에서 발생하고 있으며 이자수익, 환 거래 차익이 뒤를 잇고 있다. 미국, 중국, 인도네시아, 미얀마 등지에 사무소를 개설하며 글로벌 보험사로 도약하고 있다.",금융,보험,KR,kospi,None,https://www.idbins.com
20,000990.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/000990.png,DB하이텍,"DB하이텍은 1953년 설립된 기업으로 반도체 제조업을 영위하고 있다. 주요 매출은 웨이퍼와 칩을 수탁생산·판매하는 파운드리 사업 부문에서 발생하고 있으며, 디스플레이 및 센서IC 판배부문이 뒤를 잇고 있다. 반도체 용도별 최적화된 공정기술과 핵심기술을 보유하고 있으며, 삼성전자, 미디어텍, 실리콘웍스 등 업체에 제품을 납품하고 있다.",하드웨어/IT장비,반도체/반도체장비,KR,kospi,82 3 2680 4700,https://www.dbhitek.com
21,000995.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/000995.png,DB하이텍1우,,,,KR,kospi,82 3 2680 4700,https://www.dbhitek.com
22,139130.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/139130.png,DGB금융지주,"DGB금융지주는 경영성과의 평가 및 보상에 대한 결정, 경영관리업무와 자금지원, 자금 조달 업무 등을 영위하고 있는 지주회사이다. 주요 종속기업은 (주)대구은행, 하이투자증권(주), DGB생명보험(주), (주)DGB캐피탈이 있다. 주요 매출은 이자수익, 유가증권평가및처분이익에서 대부분 발생하고 있다. DGB금융그룹은 ""따뜻한 금융으로 모두가 꿈꾸는 세상을 만들다""라는 그룹 미션과 함께 ""미래로 도약하는 SMART 금융그룹""이라는 중기 비전을 달성하도록 전 임직원의 모든 역량을 주력하고 있다.",금융,은행,KR,kospi,82 5 3740 7900,https://www.dgbfg.co.kr
23,001530.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/001530.png,DI동일,"DI동일은 1955년 설립된 기업으로 섬유/의류 제품 생산·가공, 알루미늄박과 열교환기 제조·판매업 등을 영위하고 있다. 주요 종속기업은 동일 씨앤이, 디아이비즈, 디아이폴로, 동일알루미늄 등이 있다. 주요 매출은 의류, 화장품, 가구 등 상품 판매 부문에서 발생하고 있으며 섬유 제품 판매가 뒤를 잇고 있다. 노후 설비 보완과 자동화를 추진하며 원가절감 및 특수소재 개발에 주력하고 있다.",소재,화학,KR,kospi,82 2 2222 3071,https://www.dong-il.com
24,000210.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/000210.png,DL,"DL은 1939년 설립한 기업으로 2021년 대림산업을 인적·물적 분할 하여 순수 지주회사로 전환하며 대림에서 DL로 사명을 변경하였다. 주요 종속기업은 석유화학 사업을 영위하는 DL케미칼, 종합건설업을 영위하는 DL이앤씨를 보유하고 있으며 그 외 다수의 종속사를 보유하고 있다. 주요 매출은 DL 브랜드 수수료, 배당수익, 임대 수익 등 순수 지주회사 사업 활동에서 창출되고 있다.",기타,지주회사/복합기업,KR,kospi,82 2 2011 7114,https://www.dlenc.co.kr
25,001880.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/001880.png,DL건설,"DL건설은 1956년 설립된 기업으로 종합건설업을 영위하고 있다. 주요 매출은 일반건축, 주택재건축, 재개발 등 건축분야에서 발생하고 있으며, 공공공사, 민자 SOC 등 토목분야가 뒤를 잇고 있다. 주택사업에 편중되어 있던 사업구조 개선을 위해 고려개발을 인수하였으며 다양한 건축·건설 분야 공사를 수주하고 있다.",건설/인프라,건설,KR,kospi,82 2 2170 5000,https://www.dlconstruction.co.kr
26,000215.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/000215.png,DL우,,,,KR,kospi,82 2 2011 7114,https://www.dlenc.co.kr
27,375500.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/375500.png,DL이앤씨,"DL이앤씨는 디엘에서 인적분할되어 신설되었으며 디엘의 건설사업 부문을 영위하고 있다. 주요 종속기업으로는 DL건설, 오산랜드마크프로젝트, 다수의 해외 현지법인이 있다. 주요 매출은 주택공사 건설,부동산 서비스를 통해 발생하고 있으며 플랜트 공사가 뒤를 잇고 있다. 당사가 개발한 라이프 스타일 맞춤 주거 플랫폼인 ""C2 HOUSE""는 업계 최초로 평면 구조 특허를 획득하며 당사의 경쟁력을 높였으며, 향후 주택경기 하강 국면에 대비하여 임대주택사업 등 사업모델을 다각화하여 시장경쟁력을 유지할 계획이다.",건설/인프라,건설,KR,kospi,82 2 2011 7114,https://www.dlenc.co.kr
28,37550L.KS,,DL이앤씨2우(전환),,,,KR,kospi,82 2 2011 7114,https://www.dlenc.co.kr
29,37550K.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/37550K.png,DL이앤씨우,,,,KR,kospi,82 2 2011 7114,https://www.dlenc.co.kr
30,007340.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/007340.png,DN오토모티브,"DN오토모티브는 1971년 설립된 기업으로 차량용 튜브 및 타이어 제조·판매업을 영위하고 있다. 주요 종속기업은 브레이브뉴, 지엠티홀딩스, DONGAH AMERICA INC, 이큐포올 등이 있다. 주요 매출은 자동차용 부품 부문에서 발생하고 있으며 자동차용 축전지 판매가 뒤를 잇고 있다. 지속적인 R&D 투자를 통해 가공기술, 품질 및 가격 면에서 경쟁사에 뒤지지 않는 비교우위를 만들어가고 있다.",자동차,자동차부품,KR,kospi,82 5 2240 7521,https://www.dtrautomotive.com
31,004840.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/004840.png,DRB동일,"DRB동일은 1952년 설립된 기업으로 고무부품, 자동차부품, 토건자재 사업 등을 영위하고 있다. 주요 종속기업은 동일고무벨트, DRB유니온벨티노, DRB인터내셔널, DRB파텍, 세일기업 등이 있다. 주요 매출은 산업용 고무부품 판매에서 발생하고 있으며 종합고무부품 판매가 뒤를 잇고 있다. 자동차, 농기계, 가전제품 등에 널리 쓰이는 전동벨트와 관련된 고기능 제품과 기술 서비스를 고객사에 공급하고 있다.",자동차,자동차부품,KR,kospi,82 5 1520 9000,https://www.drbworld.com
32,155660.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/155660.png,DSR,"DSR은 합성섬유로프, 스테인리스 와이어 등의 제조 및 판매를 주요사업으로 영위하고 있는 기업이다. 주요 종속기업은 중국의 청도DSR제강유한공사, 베트남의 DSR VINA CO.,Ltd가 있다. 당사는 자체 기술 연구소를 설치하여 원료 업체와의 공동 개발과 고객사에 대한 A/S 와 B/S 를 실행하고 있으므로 글로벌 동종업계들에 비해서도 경쟁우위를 가지고 있다.",소재,비철금속,KR,kospi,82 5 1979 0500,https://www.dsrcorp.com
33,069730.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/069730.png,DSR제강,"DSR제강은 와이어로프 및 경강선 제조 판매 등을 영위하고 있는 기업이다. 주요 매출은 경강선, 와이어로프 등의 제품 판매에서 발생하고 있다. 당사는 수출의 비중이 높아 해외시장의 경기변동에 따라 전체 판매 실적이 영향을 받는다.",소재,철강,KR,kospi,82 2 3420 3500,https://www.dsr.com
34,017940.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/017940.png,E1,"E1은 1984년 설립된 기업으로 LPG 수입·충전·판매업을 영위하고 있다. 주요 종속기업은 이원물류, 이원쏠라, 넥스포에너지 등이 있다. 주요 매출은 LPG 판매에서 발생하고 있다. 매출액 제고를 위해 Paper Trading을 통한 마진 고정화 및 원재료 수급처 다변화 등 지속적인 노력을 하고 있다.",에너지,가스,KR,kospi,82 2 3441 4270,https://www.e1.co.kr
35,365550.KS,https://file.alphasquare.co.kr/media/images/stock_logo/kr/365550.png,ESR켄달스퀘어리츠,-,금융,부동산,KR,kospi,82 2 6205 0467,https://www.esrks-reit.com
